
Device #1:
----------

Device type:        BlueField3          
Name:               900-9D3B6-00CV-A_Ax 
Description:        NVIDIA BlueField-3 B3220 P-Series FHHL DPU; 200GbE (default mode) / NDR200 IB; Dual-port QSFP112; PCIe Gen5.0 x16 with x16 PCIe extension option; 16 Arm cores; 32GB on-board DDR; integrated BMC; Crypto Enabled
Device:             0000:94:00.0        

Configurations:                                          Default             Current         Next Boot
        MEMIC_ATOMIC                                MEMIC_ATOMIC_ENABLE(2) MEMIC_ATOMIC_ENABLE(2) MEMIC_ATOMIC_ENABLE(2)
        MEMIC_BAR_SIZE                              0                    0                    0                   
        MEMIC_SIZE_LIMIT                            _256KB(1)            _256KB(1)            _256KB(1)           
        MIN_TIME_BETWEEN_CNPS_P1                    4                    4                    4                   
        MIN_TIME_BETWEEN_CNPS_P2                    4                    4                    4                   
        MKEY_BY_NAME                                False(0)             False(0)             False(0)            
        MKEY_BY_NAME_RANGE                          DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        MODULE_SPLIT_M0                             Array[0..15]         Array[0..15]         Array[0..15]        
        MODULE_SPLIT_M1                             Array[0..15]         Array[0..15]         Array[0..15]        
        MPFS_MC_LOOPBACK_DISABLE_P1                 False(0)             False(0)             False(0)            
        MPFS_MC_LOOPBACK_DISABLE_P2                 False(0)             False(0)             False(0)            
        MPFS_UC_LOOPBACK_DISABLE_P1                 False(0)             False(0)             False(0)            
        MPFS_UC_LOOPBACK_DISABLE_P2                 False(0)             False(0)             False(0)            
        MULTIPATH_DSCP                              DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        MULTI_PCI_RESOURCE_SHARING                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        MULTI_PORT_VHCA_EN                          False(0)             False(0)             False(0)            
        NON_PREFETCHABLE_PF_BAR                     False(0)             False(0)             False(0)            
        NUM_OF_PFC_P1                               8                    8                    8                   
        NUM_OF_PFC_P2                               8                    8                    8                   
        NUM_OF_PF                                   2                    2                    2                   
        NUM_OF_PLANES_P1                            0                    0                    0                   
        NUM_OF_PLANES_P2                            0                    0                    0                   
        NUM_OF_TC_P1                                _8_TCs(0)            _8_TCs(0)            _8_TCs(0)           
        NUM_OF_TC_P2                                _8_TCs(0)            _8_TCs(0)            _8_TCs(0)           
*       NUM_OF_VFS                                  16                   2                    2                   
        NUM_OF_VL_P1                                _4_VLs(3)            _4_VLs(3)            _4_VLs(3)           
        NUM_OF_VL_P2                                _4_VLs(3)            _4_VLs(3)            _4_VLs(3)           
        NUM_PF_MSIX                                 63                   63                   63                  
        NUM_PF_MSIX_VALID                           True(1)              True(1)              True(1)             
        NUM_VF_MSIX                                 11                   11                   11                  
        NVME_EMULATION_CLASS_CODE                   67586                67586                67586               
        NVME_EMULATION_DEVICE_ID                    24577                24577                24577               
        NVME_EMULATION_ENABLE                       False(0)             False(0)             False(0)            
        NVME_EMULATION_MAX_QUEUE_DEPTH              0                    0                    0                   
        NVME_EMULATION_NUM_MSIX                     0                    0                    0                   
        NVME_EMULATION_NUM_PF                       1                    1                    1                   
        NVME_EMULATION_NUM_VF_MSIX                  0                    0                    0                   
        NVME_EMULATION_NUM_VF                       0                    0                    0                   
        NVME_EMULATION_REVISION_ID                  0                    0                    0                   
        NVME_EMULATION_SUBSYSTEM_ID                 0                    0                    0                   
        NVME_EMULATION_SUBSYSTEM_VENDOR_ID          0                    0                    0                   
        NVME_EMULATION_VENDOR_ID                    5555                 5555                 5555                
        OFF_BOARD_SERIALIZER                        False(0)             False(0)             False(0)            
        P2P_ORDERING_MODE                           DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PARTIAL_RESET_EN                            False(0)             False(0)             False(0)            
        PCC_HANDLE_CORE_UTIL                        DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PCC_INT_EN                                  False(0)             False(0)             False(0)            
        PCC_INT_NP_RTT_DATA_MODE                    RTT_V0(64)           RTT_V0(64)           RTT_V0(64)          
        PCC_INT_NP_RTT_DSCP_EN                      False(0)             False(0)             False(0)            
        PCC_INT_NP_RTT_DSCP                         26                   26                   26                  
        PCC_INT_SYSTEM_RTT                          0                    0                    0                   
        PCC_NP_HANDLE_CORE_UTIL                     DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PCIE_CONGESTION_MONITOR                     DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PCIE_CREDIT_TOKEN_TIMEOUT                   0                    0                    0                   
        PCIE_IN_BAND_VDM_DISABLE                    False(0)             False(0)             False(0)            
        PCIE_SMBUS_DISABLE                          False(0)             False(0)             False(0)            
        PCI_ATOMIC_MODE                             PCI_ATOMIC_DISABLED_EXT_ATOMIC_ENABLED(0) PCI_ATOMIC_DISABLED_EXT_ATOMIC_ENABLED(0) PCI_ATOMIC_DISABLED_EXT_ATOMIC_ENABLED(0)
        PCI_BUS00_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS00_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS00_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS00_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS00_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS01_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS01_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS01_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS01_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS01_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS02_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS02_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS02_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS02_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS02_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS03_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS03_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS03_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS03_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS03_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS04_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS04_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS04_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS04_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS04_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS05_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS05_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS05_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS05_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS05_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS06_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS06_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS06_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS06_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS06_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS07_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS07_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS07_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS07_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS07_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS10_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS10_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS10_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS10_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS10_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS11_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS11_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS11_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS11_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS11_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS12_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS12_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS12_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS12_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS12_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS13_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS13_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS13_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS13_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS13_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS14_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS14_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS14_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS14_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS14_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS15_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS15_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS15_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS15_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS15_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS16_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS16_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS16_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS16_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS16_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS17_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS17_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS17_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS17_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS17_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS20_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS20_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS20_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS20_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS20_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS21_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS21_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS21_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS21_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS21_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS22_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS22_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS22_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS22_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS22_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS23_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS23_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS23_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS23_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS23_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS24_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS24_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS24_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS24_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS24_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS25_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS25_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS25_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS25_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS25_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS26_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS26_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS26_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS26_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS26_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS27_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS27_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS27_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS27_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS27_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_DOWNSTREAM_PORT_OWNER                   Array[0..15]         Array[0..15]         Array[0..15]        
        PCI_SWITCH0_UPSTREAM_PORT_BUS               0                    0                    0                   
        PCI_SWITCH0_UPSTREAM_PORT_PEX               0                    0                    0                   
        PCI_SWITCH1_UPSTREAM_PORT_BUS               0                    0                    0                   
        PCI_SWITCH1_UPSTREAM_PORT_PEX               0                    0                    0                   
        PCI_SWITCH2_UPSTREAM_PORT_BUS               0                    0                    0                   
